PERMNO,date,VOL,RET,BID,ASK
25785,2009-03-03,15442600,-0.037234,1.80000,1.80000
25785,2009-03-04,22404100,0.033149,1.85000,1.87000
25785,2009-03-05,47498200,-0.032086,1.82000,1.85000
25785,2009-03-06,35136600,-0.060773,1.70000,1.71000
25785,2009-03-09,32278800,0.023529,1.74000,1.75000
25785,2009-03-10,31181600,0.063218,1.83000,1.85000
25785,2009-03-11,43525700,0.059459,1.95000,1.96000
25785,2009-03-12,46703800,0.071429,2.08000,2.09000
25785,2009-03-13,53675900,0.042857,2.19000,2.20000
25785,2009-03-16,44228000,-0.041096,2.10000,2.11000
25785,2009-03-17,43203300,0.085714,2.26000,2.28000
25785,2009-03-18,92835400,0.083333,2.48000,2.52000
25785,2009-03-19,61261300,0.016194,2.50000,2.51000
25785,2009-03-20,57246600,0.095618,2.70000,2.71000
25785,2009-03-23,45330900,0.054545,2.87000,2.88000
25785,2009-03-24,40527200,-0.013793,2.82000,2.83000
25785,2009-03-25,51463000,-0.031469,2.79000,2.80000
25785,2009-03-26,38805600,0.061372,2.92000,2.93000
25785,2009-03-27,32080900,-0.034014,2.83000,2.84000
25785,2009-03-30,63985200,-0.028169,2.76000,2.77000
25785,2009-03-31,45913500,-0.047101,2.65000,2.66000
25785,2009-04-01,68271400,0.041825,2.75000,2.76000
25785,2009-04-02,68130400,0.062044,2.92000,2.93000
25785,2009-04-03,111824600,0.116838,3.23000,3.24000
25785,2009-04-06,231439200,0.160000,3.76000,3.77000
25785,2009-04-07,112627100,-0.074271,3.49000,3.50000
25785,2009-04-08,261067500,0.131805,3.98000,3.98000
25785,2009-04-09,131505400,0.073418,4.21000,4.22000
25785,2009-04-13,73962400,0.004717,4.26000,4.27000
25785,2009-04-14,64229300,0.009390,4.30000,4.30000
25785,2009-04-15,88312500,-0.060465,4.03000,4.04000
25785,2009-04-16,59376400,0.029703,4.15000,4.16000
25785,2009-04-17,55084200,-0.038462,4.00000,4.01000
25785,2009-04-20,57797600,-0.077500,3.69000,3.70000
25785,2009-04-21,93851800,0.029810,3.78000,3.79000
25785,2009-04-22,145386700,0.126316,4.30000,4.27000
25785,2009-04-23,115727900,0.049065,4.47000,4.48000
25785,2009-04-24,287772600,0.113586,4.98000,4.99000
25785,2009-04-27,111424400,0.022000,5.10000,5.11000
25785,2009-04-28,73138900,0.015656,5.18000,5.19000
25785,2009-04-29,70786200,0.050096,5.42000,5.43000
25785,2009-04-30,186983700,0.097248,5.86000,5.87000
25785,2009-05-01,102853300,-0.048495,5.67000,5.69000
25785,2009-05-04,58157900,0.032513,5.87000,5.88000
25785,2009-05-05,70388700,-0.004255,5.86000,5.87000
25785,2009-05-06,95547200,0.070086,6.25000,6.26000
25785,2009-05-07,95031100,-0.031949,6.07000,6.08000
25785,2009-05-08,63884400,0.029703,6.24000,6.25000
25785,2009-05-11,64849100,-0.025641,6.07000,6.08000
25785,2009-05-12,217074100,-0.175987,5.31000,5.32000
25785,2009-05-13,541175500,-0.009980,4.95000,4.96000
